Artikelnummer,Beschreibung,Farbe,Farbbezeichnung,Grösse,Barcode,EK,UVP,Statistische Warennummer,Gewicht,Bemerkung Lieferbarkeit,Qualität,Zertifizierung
101160-X-XX,"Lanolin Waschmittel (6 x 0,5 Liter) - ohne - XX",X,ohne,XX,4046304202081,49.9,119.75,34029090,3.75,lieferbar ab Lager,N/V,Nein
101170-X-XX,Waschmittel mit Seifenkrautextrakt (6 x 1 Liter) - ohne - XX,X,ohne,XX,4046304202098,52.5,126,34029090,6.95,lieferbar ab Lager,N/V,Nein
364150-01-1-7580-BC,"Still-BH Lena, GOTS - natur - 1 (75B - 80C)",1,natur,1-7580-BC,4046304000076,12.45,29.9,62121090,0.092,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-2-7580-DE,"Still-BH Lena, GOTS - natur - 2 (75D - 80E)",1,natur,2-7580-DE,4046304000083,12.45,29.9,62121090,0.089,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-3-8085-BC,"Still-BH Lena, GOTS - natur - 3 (80B - 85C)",1,natur,3-8085-BC,4046304000090,12.45,29.9,62121090,0.097,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-4-8590-BC,"Still-BH Lena, GOTS - natur - 4 (85B - 90C)",1,natur,4-8590-BC,4046304000106,12.85,30.85,62121090,0.106,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-5-8085-DE,"Still-BH Lena, GOTS - natur - 5 (80D - 85E)",1,natur,5-8085-DE,4046304000113,12.85,30.85,62121090,0.092,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-6-8590-DE,"Still-BH Lena, GOTS - natur - 6 (85D - 90E)",1,natur,6-8590-DE,4046304000120,13.25,31.8,62121090,0.106,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-7-95110-DE,"Still-BH Lena, GOTS - natur - 7 (95D - 110E)",1,natur,7-95110-DE,4046304000137,13.25,31.8,62121090,0.103,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-01-8-95110-BC,"Still-BH Lena, GOTS - natur - 8 (95B - 110C)",1,natur,8-95110-BC,4046304000144,13.25,31.8,62121090,0.109,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-1-7580-BC,"Still-BH Lena, GOTS - schwarz - 1 (75B - 80C)",9,schwarz,1-7580-BC,4046304075623,13.45,32.3,62121090,0.092,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-2-7580-DE,"Still-BH Lena, GOTS - schwarz - 2 (75D - 80E)",9,schwarz,2-7580-DE,4046304075630,13.45,32.3,62121090,0.089,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-3-8085-BC,"Still-BH Lena, GOTS - schwarz - 3 (80B - 85C)",9,schwarz,3-8085-BC,4046304075647,13.45,32.3,62121090,0.099,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-4-8590-BC,"Still-BH Lena, GOTS - schwarz - 4 (85B - 90C)",9,schwarz,4-8590-BC,4046304075654,13.95,33.5,62121090,0.106,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-5-8085-DE,"Still-BH Lena, GOTS - schwarz - 5 (80D - 85E)",9,schwarz,5-8085-DE,4046304075661,13.95,33.5,62121090,0.093,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-6-8590-DE,"Still-BH Lena, GOTS - schwarz - 6 (85D - 90E)",9,schwarz,6-8590-DE,4046304075678,14.45,34.7,62121090,0.103,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-7-95110-DE,"Still-BH Lena, GOTS - schwarz - 7 (95D - 110E)",9,schwarz,7-95110-DE,4046304075685,14.45,34.7,62121090,0.105,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364150-09-8-95110-BC,"Still-BH Lena, GOTS - schwarz - 8 (95B - 110C)",9,schwarz,8-95110-BC,4046304075692,14.45,34.7,62121090,0.1,lieferbar ab Lager,92% Baumwolle (kbA) / 8% Elasthan Feinripp,GOTS
364160-09-1-7580-BC,"Still-BH, mit Dekorspitze - schwarz - 1 (75B - 80C)",9,schwarz,1-7580-BC,4046304173985,23.05,55.3,62121090,0.067,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-2-7580-DE,"Still-BH, mit Dekorspitze - schwarz - 2 (75D - 80E)",9,schwarz,2-7580-DE,4046304173992,23.05,55.3,62121090,0.07,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-3-8085-BC,"Still-BH, mit Dekorspitze - schwarz - 3 (80B - 85C)",9,schwarz,3-8085-BC,4046304174005,23.05,55.3,62121090,0.07,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-4-8590-BC,"Still-BH, mit Dekorspitze - schwarz - 4 (85B - 90C)",9,schwarz,4-8590-BC,4046304174012,23.55,56.5,62121090,0.075,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-5-8085-DE,"Still-BH, mit Dekorspitze - schwarz - 5 (80D - 85E)",9,schwarz,5-8085-DE,4046304174029,23.55,56.5,62121090,0.073,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-6-8590-DE,"Still-BH, mit Dekorspitze - schwarz - 6 (85D - 90E)",9,schwarz,6-8590-DE,4046304174036,24.05,57.7,62121090,0.079,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-7-95110-DE,"Still-BH, mit Dekorspitze - schwarz - 7 (95D - 110E)",9,schwarz,7-95110-DE,4046304174043,24.05,57.7,62121090,0.082,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-09-8-95110-BC,"Still-BH, mit Dekorspitze - schwarz - 8 (95B - 110C)",9,schwarz,8-95110-BC,4046304174050,24.05,57.7,62121090,0.076,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-1-7580-BC,"Still-BH, mit Dekorspitze - offwhite - 1 (75B - 80C)",11,offwhite,1-7580-BC,4046304074442,22.55,54.1,62121090,0.067,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-2-7580-DE,"Still-BH, mit Dekorspitze - offwhite - 2 (75D - 80E)",11,offwhite,2-7580-DE,4046304074459,22.55,54.1,62121090,0.07,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-3-8085-BC,"Still-BH, mit Dekorspitze - offwhite - 3 (80B - 85C)",11,offwhite,3-8085-BC,4046304074466,22.55,54.1,62121090,0.07,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-4-8590-BC,"Still-BH, mit Dekorspitze - offwhite - 4 (85B - 90C)",11,offwhite,4-8590-BC,4046304074473,22.75,54.6,62121090,0.075,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-5-8085-DE,"Still-BH, mit Dekorspitze - offwhite - 5 (80D - 85E)",11,offwhite,5-8085-DE,4046304074480,22.75,54.6,62121090,0.073,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
364160-11-6-8590-DE,"Still-BH, mit Dekorspitze - offwhite - 6 (85D - 90E)",11,offwhite,6-8590-DE,4046304074497,22.95,55.1,62121090,0.079,lieferbar ab Lager,95% Baumwolle (kbA) / 5% Elasthan Singlejersey,Nein
